Date,Open,High,Low,Close,Adj Close,Volume
2022-05-18,64.150002,64.480003,63.709999,63.799999,61.237751,2419105
2022-05-19,63.230000,63.740002,63.009998,63.400002,60.853817,2747497
2022-05-20,63.730000,64.550003,63.689999,63.740002,61.180161,2625237
2022-05-23,64.400002,64.540001,63.759998,64.470001,61.880844,2202703
2022-05-24,63.889999,64.309998,63.290001,63.290001,60.748234,2582622
2022-05-25,63.290001,63.290001,63.290001,63.290001,60.748234,0
2022-05-26,64.480003,65.980003,64.370003,65.900002,63.253414,3149253
2022-05-27,65.900002,65.900002,65.900002,65.900002,63.253414,0
2022-05-30,65.900002,65.900002,65.900002,65.900002,63.253414,0
2022-05-31,66.320000,67.080002,66.209999,66.580002,63.906105,3810150
2022-06-01,66.639999,67.489998,66.599998,66.739998,64.059677,3014488
2022-06-02,66.739998,66.739998,66.739998,66.739998,64.059677,0
2022-06-03,65.860001,66.120003,65.370003,66.120003,63.464581,1503071
2022-06-06,66.309998,67.239998,65.830002,66.680000,64.002090,1810759
2022-06-07,66.320000,66.760002,64.910004,65.919998,63.272606,2620109
2022-06-08,66.580002,66.730003,65.709999,65.870003,63.224621,2415634
2022-06-09,65.709999,66.209999,65.300003,65.389999,62.763893,2223991
2022-06-10,66.040001,66.160004,63.270000,63.560001,61.007389,3461306
2022-06-13,62.750000,63.959999,62.750000,63.470001,60.921005,3889793
2022-06-14,63.840000,64.610001,63.009998,63.610001,61.055382,3514211
2022-06-15,63.799999,64.529999,62.720001,63.540001,60.988194,2960355
2022-06-16,63.430000,63.570000,61.540001,61.750000,59.270081,3008124
2022-06-17,61.750000,62.970001,60.770000,62.549999,60.037949,7095172
2022-06-20,62.889999,63.599998,62.279999,63.360001,60.815422,2470178
2022-06-21,63.700001,64.370003,60.360001,62.060001,59.567631,6229104
2022-06-22,61.150002,61.459999,59.040001,60.740002,58.300644,4196714
2022-06-23,60.830002,60.900002,58.540001,58.540001,56.188995,3993698
2022-06-24,58.650002,58.889999,56.720001,57.790001,55.469116,5321307
2022-06-27,57.099998,59.669998,57.099998,59.400002,57.014458,4001268
2022-06-28,59.680000,60.439999,59.389999,60.230000,57.811123,2795521
2022-06-29,59.410000,59.840000,57.349998,57.619999,55.305943,3447646
2022-06-30,57.299999,57.830002,56.320000,56.720001,54.442089,3198388
2022-07-01,56.360001,57.419998,55.750000,57.349998,55.046783,2173516
2022-07-04,57.939999,58.080002,56.950001,57.240002,54.941204,1710426
2022-07-05,57.340000,57.419998,55.230000,55.520000,53.290279,3472768
2022-07-06,55.980000,57.029999,55.880001,56.189999,53.933372,2354615
2022-07-07,56.740002,57.040001,56.110001,56.590000,54.317310,2077345
2022-07-08,56.340000,58.080002,56.180000,57.830002,55.507511,2550293
2022-07-11,57.099998,57.250000,56.080002,56.150002,53.894981,2109888
2022-07-12,56.150002,56.150002,56.150002,56.150002,53.894981,0
2022-07-13,55.939999,56.330002,54.750000,56.150002,53.894981,2304607
2022-07-14,56.049999,56.209999,54.230000,54.419998,52.234455,2446842
2022-07-15,54.400002,55.730000,54.349998,55.630001,53.395863,2561043
2022-07-18,55.900002,56.110001,55.139999,55.430000,53.203896,1774354
2022-07-19,55.090000,59.000000,55.020000,58.070000,55.737869,3225844
2022-07-20,58.500000,59.360001,58.340000,58.840000,56.476948,2622082
2022-07-21,58.610001,59.099998,57.130001,57.400002,55.094780,3192496
2022-07-22,57.209999,57.419998,56.619999,56.790001,54.509277,1615281
2022-07-25,56.619999,57.990002,56.619999,57.689999,55.373131,1418004
2022-07-26,58.029999,58.430000,57.130001,57.689999,55.373131,1383446
2022-07-27,57.840000,58.049999,56.869999,57.020000,54.730042,1962430
2022-07-28,57.290001,57.389999,56.459999,57.000000,54.710842,2410070
2022-07-29,57.250000,57.330002,56.869999,57.000000,54.710842,2585670
2022-08-01,56.970001,57.500000,56.610001,56.720001,54.442089,1741557
2022-08-02,56.529999,58.139999,56.470001,58.000000,55.670681,2388667
2022-08-03,58.009998,58.759998,57.470001,58.759998,56.400158,2004701
2022-08-04,59.049999,59.410000,56.520000,57.279999,54.979595,3383752
2022-08-05,56.900002,57.040001,53.259998,53.279999,51.140240,6106060
2022-08-08,53.509998,53.599998,51.740002,52.950001,50.823494,5017442
2022-08-09,52.950001,53.049999,51.820000,52.160000,50.065220,3255300
2022-08-10,52.290001,52.680000,51.750000,51.900002,49.815662,2240622
2022-08-11,52.200001,52.400002,51.360001,51.680000,49.604496,2319226
2022-08-12,51.810001,54.290001,51.810001,54.150002,51.975304,4532250
2022-08-15,54.029999,54.639999,53.349998,53.560001,51.408997,2133153
2022-08-16,53.759998,55.000000,53.720001,54.299999,52.119274,2410144
2022-08-17,54.419998,54.459999,53.259998,53.369999,51.226624,1827257
2022-08-18,53.439999,54.060001,53.209999,54.060001,51.888916,1734162
2022-08-19,53.689999,54.470001,53.139999,54.400002,52.215263,2960907
2022-08-22,54.389999,54.480000,53.169998,53.410000,51.265018,2183149
2022-08-23,53.130001,54.130001,53.119999,53.490002,51.341808,2310282
2022-08-24,53.490002,53.799999,52.490002,53.470001,51.322613,1691847
2022-08-25,53.730000,54.650002,53.700001,54.549999,52.359234,2142222
2022-08-26,54.639999,55.119999,53.700001,53.700001,51.543373,2385448
2022-08-29,52.580002,52.779999,50.310001,51.070000,49.018993,4422188
2022-08-30,51.400002,53.220001,51.380001,51.860001,49.777267,3280969
2022-08-31,51.990002,52.599998,51.590000,52.599998,50.487549,4171490
2022-09-01,51.790001,51.910000,50.720001,51.180000,49.124577,2478227
2022-09-02,51.750000,52.660000,51.250000,52.630001,50.516346,2664322
2022-09-05,51.180000,52.049999,51.009998,51.810001,49.729279,1587137
2022-09-06,52.009998,52.189999,51.160000,51.509998,49.441322,1930233
2022-09-07,51.090000,51.459999,50.660000,51.060001,49.009399,2429549
2022-09-08,51.400002,52.000000,50.220001,51.910000,49.825260,3547177
2022-09-09,52.310001,53.279999,52.250000,52.869999,50.746704,2320655
2022-09-12,53.000000,54.290001,52.700001,54.090000,51.917709,1970486
2022-09-13,54.090000,55.939999,53.779999,53.860001,51.696949,0
2022-09-14,53.549999,54.590000,53.500000,53.730000,51.572166,2076536
2022-09-15,53.689999,54.209999,53.009998,53.119999,50.986664,2221686
2022-09-16,52.939999,53.189999,52.049999,52.290001,50.189999,4445433
2022-09-19,51.990002,52.799999,51.560001,52.419998,50.314777,1301283
2022-09-20,52.700001,53.040001,51.919998,52.080002,49.988434,1691902
2022-09-21,51.650002,52.369999,51.590000,52.150002,50.055622,1500256
2022-09-22,51.500000,52.340000,51.450001,51.500000,49.431725,2016895
2022-09-23,51.759998,51.759998,49.430000,49.575001,47.584038,2994304
2022-09-26,49.799999,49.834999,48.310001,48.369999,46.427429,3191043
2022-09-27,48.895000,49.380001,48.160000,48.255001,46.317047,2427323
2022-09-28,47.570000,48.189999,47.009998,48.189999,46.254658,2961208
2022-09-29,48.009998,48.209999,47.189999,47.720001,45.803535,2650625
2022-09-30,48.090000,48.570000,47.025002,47.415001,45.510784,3141744
2022-10-03,47.070000,48.090000,46.700001,47.955002,46.029099,1670533
2022-10-04,48.759998,48.895000,48.244999,48.645000,46.691387,3181766
2022-10-05,49.025002,49.325001,48.595001,48.650002,46.696186,2265672
2022-10-06,48.785000,48.845001,47.665001,47.705002,45.789139,1771630
